Species,District,Responsible Department,Location,Last Inspection Date,BRR,TR no.,Department Ref. No.,OVTNo,XCoordinate,YCoordinate,Type,Condition,MitigationMeasure
朴树,南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00020,hyd_hk_11sw_c_r38_2_wt6,,832059.9432,813592.7351,SWT,嫩枝枯死 (多於 20%) / 不寻常落叶(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00021,hyd_hk_11sw_c_r38_2_wt7,,832058.8119,813601.8155,SWT,树枝/树干裂开(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
笔管榕,南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00022,hyd_hk_11sw_c_r38_2_wt8,,832061.2873,813608.1267,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
朴树,南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00023,hyd_hk_11sw_c_r38_2_wt9,,832061.5977,813612.556,SWT,树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
笔管榕,南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00024,hyd_hk_11sw_c_r38_2_wt10,,832062.1142,813616.653,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
朴树,南区,路政署,薄扶林道,16/6/2020,N,HYD/S/00025,hyd_hk_11sw_c_r38_2_wt11,,832061.9107,813626.5084,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),南区,路政署,薄扶林道,13/4/2020,N,HYD/S/00026,hyd_hk_11sw_c_r38_2_wt12,,832061.6023,813629.609,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,宝云道,19/5/2020,N,HYD/WC/00002,hyd_hk_11sw_d_r204_0_wt1,,835731.1,814599.1,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,宝云道,19/5/2020,N,HYD/WC/00004,hyd_hk_11sw_d_r698_0_wt1,,835555.4,814984.6,SWT,呈现树洞(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,宝云道,19/5/2020,N,HYD/WC/00005,hyd_hk_11sw_d_r699_0_wt1,,835610.2,814967.8,SWT,呈现树洞(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,宝云道,19/5/2020,N,HYD/WC/00006,hyd_hk_11sw_d_r699_0_wt2,,835640,814926.8,SWT,嫩枝枯死 (5 - 20%) / 不寻常落叶(轻微) / 呈现树洞(中等) / 呈现腐烂(中等) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,宝云道,19/5/2020,N,HYD/WC/00008,hyd_hk_11sw_d_r704_0_wt1,,835687.8,814893.2,SWT,有枯枝 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,宝云道,19/5/2020,N,HYD/WC/00009,hyd_hk_11sw_d_r704_0_wt2,,835698.7,814883.2,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,宝云道,19/5/2020,N,HYD/WC/00010,hyd_hk_11sw_d_r704_0_wt3,,835705.5,814874,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,乐活道,5/4/2020,N,HYD/WC/00014,hyd_hk_11sw_b_r652_0_wt1,,837096.1731,815074.808,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,乐景台,5/4/2020,N,HYD/WC/00015,hyd_hk_11sw_b_r814_1_wt1,,837127.4019,815057.2029,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,乐景台,5/4/2020,N,HYD/WC/00017,hyd_hk_11sw_b_r814_1_wt3,,837131.5239,815066.837,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),湾仔区,路政署,东院道,6/2/2020,N,HYD/WC/00018,hyd_hk_11sw_b_r732_1_wt1,,837489.4266,815484.1072,SWT,树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
朴树,湾仔区,路政署,坚尼地道,5/6/2020,N,HYD/WC/00020,hyd_hk_11sw_b_r908_0_wt1,,835755.7416,814973.9152,SWT,呈现腐烂 (轻微) / 呈现真菌子实体(少量) / 有明显破损 / 树冠不对称 / ,持续监察 / 
大叶榕(黄葛树),湾仔区,路政署,坚尼地道,5/6/2020,N,HYD/WC/00022,hyd_hk_11sw_b_r988_0_wt2,,835506.644,815088.8673,SWT,有明显破损 / 树冠不对称 / ,持续监察 / 
大叶榕(黄葛树),湾仔区,路政署,坚尼地道,5/6/2020,N,HYD/WC/00024,HYD WCH/2,HYD WCH/2,836027,814906,OVT,呈现树洞(轻微) / 树枝/树干裂开(轻微) / 有枯枝 / 有明显破损 / ,适当修剪树木枝条 / 持续监察 / 
笔管榕,湾仔区,路政署,金马麟山道,15/5/2020,N,HYD/WC/00025,hyd_hk_11sw_d_r965_0_wt1,,835484.2,814057.1,SWT,呈现树洞(轻微) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,司徒拔道,5/4/2020,N,HYD/WC/00027,hyd_hk_11sw_b_r690_2_wt1,,836289.1954,815028.8311,SWT,嫩枝枯死 (5 - 20%) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
笔管榕,湾仔区,路政署,司徒拔道,5/4/2020,N,HYD/WC/00028,hyd_hk_11sw_b_r690_2_wt2,,836292.2873,815032.1531,SWT,呈现腐烂(中等) / 有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,司徒拔道,5/4/2020,N,HYD/WC/00029,hyd_hk_11sw_b_r690_2_wt3,,836299.3986,815033.5927,SWT,嫩枝枯死 (5 - 20%) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
血桐,湾仔区,路政署,司徒拔道,5/4/2020,N,HYD/WC/00030,hyd_hk_11sw_b_r690_2_wt4,,836312.1783,815043.2266,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,司徒拔道,5/4/2020,N,HYD/WC/00031,hyd_hk_11sw_b_r690_2_wt5,,836319.5988,815048.9848,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,日街,29/5/2020,N,HYD/WC/00044,hyd_hk_11sw_b_r603_0_wt1,,835437.2952,815315.322,SWT,树干不正常倾斜 / 健康状况(好) / ,适当修剪树木枝条 / 持续监察 / 
番石榴,湾仔区,路政署,日街,29/5/2020,N,HYD/WC/00045,hyd_hk_11sw_b_r603_0_wt2,,835441.7266,815311.4461,SWT,呈现腐烂 (轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,持续监察 / 
榕树(细叶榕),湾仔区,路政署,日街,16/6/2020,N,HYD/WC/00046,hyd_hk_11sw_b_r603_0_wt3,,835440.9018,815305.688,SWT,叶片颜色不正常 / 嫩枝枯死 (5 - 20%) / 呈现腐烂 (轻微) / 有明显破损 / 树干不正常倾斜 / ,持续监察 / 
大叶榕(黄葛树),湾仔区,路政署,日街,29/5/2020,N,HYD/WC/00047,hyd_hk_11sw_b_r603_0_wt4,,835443.3751,815302.698,SWT,有枯枝 / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
大叶榕(黄葛树),湾仔区,路政署,大坑道,6/2/2020,N,HYD/WC/00048,hyd_hk_11se_a_r7_0_wt1,,837581,815530,SWT,树冠不对称 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,大坑道,6/2/2020,N,HYD/WC/00049,hyd_hk_11se_a_r7_0_wt2,,837591,815529,SWT,有枯枝 / 有明显破损 / 树冠不对称 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,大坑道,6/2/2020,N,HYD/WC/00050,hyd_hk_11se_a_r7_0_wt4,,837604.4,815527.3,SWT,树冠不对称 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,大坑道,6/2/2020,N,HYD/WC/00051,hyd_hk_11se_a_r7_0_wt6,,837640.1,815520.5,SWT,有明显破损 / 树冠不对称 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
笔管榕,湾仔区,路政署,大坑道,6/2/2020,N,HYD/WC/00053,hyd_hk_11se_a_r7_0_wt8,,837671.9,815498.1,SWT,树冠不对称 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,适当修剪树木枝条 / 持续监察 / 
笔管榕,湾仔区,路政署,大坑道,6/2/2020,N,HYD/WC/00054,hyd_hk_11se_a_r7_0_wt9,,837688.7,815483.1,SWT,有明显破损 / 树干不正常倾斜 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,大坑道,6/2/2020,N,HYD/WC/00055,hyd_hk_11se_a_r7_0_wt10,,837707.8,815476.9,SWT,有枯枝 / 有明显破损 / ,适当修剪树木枝条 / 持续监察 / 
榕树(细叶榕),湾仔区,路政署,皇后大道东,22/11/2019,N,HYD/WC/00058,HYD WCH1,HYD WCH/1,836227.358,815117.4183,OVT,嫩枝枯死 (5 - 20%) / 呈现病虫害征状(轻微) / 有明显破损 / 树冠不对称 / 树干不正常倾斜 / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / ,持续监察 / 
榕树(细叶榕),东区,康乐及文化事务署,"鲤鱼门公园,在渡假村办事处对面",28/10/2019,Y,LCSD/E/00001,LCSD E/1,LCSD E/1,841949,815403,OVT,健康状况(一般) / ,持续监察 / 
榕树(细叶榕),东区,康乐及文化事务署,"鲤鱼门公园,近网球场",18/10/2019,N,LCSD/E/00002,LCSD E/10,LCSD E/10,842073,815476,OVT,健康状况(好) / ,持续监察 / 
朴树,东区,康乐及文化事务署,"鲤鱼门公园,近网球场",28/10/2019,N,LCSD/E/00003,LCSD E/11,LCSD E/11,842094,815480,OVT,健康状况(差) / ,持续监察 / 
木麻黄,东区,康乐及文化事务署,"鲤鱼门公园,近足球场梯级旁",28/10/2019,N,LCSD/E/00004,LCSD E/12,LCSD E/12,842185,815425,OVT,健康状况(一般) / ,持续监察 / 
大叶榕(黄葛树),东区,康乐及文化事务署,"筲箕湾东大街,筲箕湾官立小学前",22/3/2021,N,LCSD/E/00007,LCSD E/15,LCSD E/15,841813,815779,OVT,健康状况(一般) / ,持续监察 / 
榕树(细叶榕),东区,康乐及文化事务署,"鲤鱼门公园,近咖啡阁",18/10/2019,N,LCSD/E/00015,LCSD E/5,LCSD E/5,841994,815687,OVT,健康状况(好) / ,持续监察 / 
榕树(细叶榕),东区,康乐及文化事务署,"鲤鱼门公园,第五座附近的道路斜坡",18/10/2019,N,LCSD/E/00017,LCSD E/8,LCSD E/8,842142,815590,OVT,健康状况(一般) / ,持续监察 / 
榕树(细叶榕),东区,康乐及文化事务署,"鲤鱼门公园,第五座附近的道路斜坡",18/10/2019,N,LCSD/E/00018,LCSD E/9,LCSD E/9,842162,815582,OVT,健康状况(一般) / ,持续监察 / 
榕树(细叶榕),东区,康乐及文化事务署,鲤鱼门公园及度假村,7/1/2021,N,LCSD/E/00079,E 17422,,842097.8,815642.1,SWT,健康状况(好) / ,持续监察 / 
樟,葵青区,建筑署,"中葵涌公园, 近公园办事处",31/7/2020,N,ARCHSD/KWT/00016,SB2614_TS0008,ARCHSD KWT/2,831694,824192,OVT,呈现树洞(中等) / 有枯枝 / ,适当修剪树木枝条 / 持续监察 / 
樟,葵青区,康乐及文化事务署,清誉街花园,5/8/2020,N,LCSD/KWT/00002,LCSD KWT/7,LCSD KWT/7,828547,823938,OVT,嫩枝枯死 (5 - 20%) / 呈现树洞(轻微) / 呈现腐烂 (轻微) / 树枝/树干裂开(轻微) / 有明显破损 / 树冠不对称 / 健康状况(一般) / ,持续监察 / 
樟,葵青区,建筑署,"青衣公园, 一号抽水房後面",31/7/2020,N,ARCHSD/KWT/00019,SB1740_TS0031,ARCHSD KWT/5,828972,824026,OVT,呈现腐烂 (轻微) / 健康状况(一般) / ,持续监察 / 
榕树(细叶榕),荃湾区,康乐及文化事务署,老围路,17/12/2020,N,LCSD/TW/00001,LCSD TW/3,LCSD TW/3,830943,826817,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 有明显破损 / 树冠不对称 / 健康状况(好) / ,持续监察 / 
朴树,湾仔区,康乐及文化事务署,香港中央图书馆,22/1/2021,N,LCSD/WC/00001,LCSD WCH/1,LCSD WCH/1,837529,815679,OVT,健康状况(一般) / ,持续监察 / 
桂木(红桂木),湾仔区,康乐及文化事务署,希慎道利园三期外,10/2/2021,N,LCSD/WC/00002,LCSD WCH/2,LCSD WCH/2,837127,815490,OVT,健康状况(好) / ,持续监察 / 
桂木(红桂木),湾仔区,康乐及文化事务署,希慎道利园三期外,10/2/2021,N,LCSD/WC/00003,LCSD WCH/3,LCSD WCH/3,837121,815488,OVT,健康状况(一般) / ,持续监察 / 
桂木(红桂木),湾仔区,康乐及文化事务署,希慎道利园三期外,10/2/2021,N,LCSD/WC/00004,LCSD WCH/4,LCSD WCH/4,837115,815486,OVT,健康状况(好) / ,持续监察 / 
桂木(红桂木),湾仔区,康乐及文化事务署,希慎道利园三期外,10/2/2021,N,LCSD/WC/00005,LCSD WCH/5,LCSD WCH/5,837108,815483,OVT,健康状况(好) / ,持续监察 / 
桂木(红桂木),湾仔区,康乐及文化事务署,希慎道利园三期外,10/2/2021,N,LCSD/WC/00006,LCSD WCH/6,LCSD WCH/6,837103,815480,OVT,健康状况(一般) / ,持续监察 / 
榕树(细叶榕),湾仔区,康乐及文化事务署,摩理臣山道游乐场,18/3/2021,N,LCSD/WC/00011,LCSD WCH/14,LCSD WCH/14,836532,815179,OVT,健康状况(一般) / ,持续监察 / 
树头菜(鱼木),湾仔区,康乐及文化事务署,湾仔公园近交加里的公园入口,18/3/2021,N,LCSD/WC/00012,LCSD WCH/15,LCSD WCH/15,836187,815236,OVT,健康状况(一般) / ,持续监察 / 
榕树(细叶榕),湾仔区,康乐及文化事务署,湾仔公园近交加里的公园入口,3/2/2021,N,LCSD/WC/00013,LCSD WCH/16,LCSD WCH/16,836191,815227,OVT,健康状况(好) / ,持续监察 / 
榕树(细叶榕),湾仔区,康乐及文化事务署,"坚尼地道64号的对面,在灯柱22450与22452之间",1/2/2021,N,LCSD/WC/00014,LCSD WCH/19,LCSD WCH/19,835640,815088,OVT,健康状况(好) / ,持续监察 / 
树头菜(鱼木),湾仔区,食物环境卫生署,"香港坟场, 黄泥涌道, 近跑马地马场",8/12/2020,N,FEHD/WC/00001,LCSD WCH020,FEHD WCH/1,836578,814763,OVT,呈现树洞(中等) / ,持续监察 / 
铁刀木,湾仔区,食物环境卫生署,"香港坟场, 黄泥涌道, 近跑马地马场",8/12/2020,N,FEHD/WC/00002,LCSD WCH022,FEHD WCH/3,836555,814711,OVT,呈现腐烂 (轻微) / ,持续监察 / 
榕树(细叶榕),九龙城区,康乐及文化事务署,多实街花园,25/9/2020,N,LCSD/KC/00001,LCSD KC/1,LCSD KC/1,836367,822183,OVT,有明显破损 / ,持续监察 / 
印度榕(印度橡树),九龙城区,康乐及文化事务署,律伦街儿童游乐场,25/9/2020,N,LCSD/KC/00002,LCSD KC/2,LCSD KC/2,836406,821616,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),九龙城区,康乐及文化事务署,雅息士道休憩花园,5/1/2021,N,LCSD/KC/00003,LCSD KC/3,LCSD KC/3,836295,821060,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),九龙城区,康乐及文化事务署,雅息士道休憩花园,5/1/2021,N,LCSD/KC/00004,LCSD KC/4,LCSD KC/4,836305,821060,OVT,呈现树洞(中等) / 树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),九龙城区,康乐及文化事务署,雅息士道休憩花园,5/1/2021,N,LCSD/KC/00006,LCSD KC/6,LCSD KC/6,836313,821041,OVT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),九龙城区,康乐及文化事务署,雅息士道休憩花园,5/1/2021,N,LCSD/KC/00007,LCSD KC/7,LCSD KC/7,836322,821041,OVT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),九龙城区,康乐及文化事务署,培正道休憩花园,19/10/2020,N,LCSD/KC/00008,LCSD KC/8,LCSD KC/8,836422,819858,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),九龙城区,康乐及文化事务署,培正道休憩花园,19/10/2020,N,LCSD/KC/00009,LCSD KC/9,LCSD KC/9,836427,819861,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),九龙城区,康乐及文化事务署,公主道近培正道休憩花园,19/10/2020,N,LCSD/KC/00010,LCSD KC/10,LCSD KC/10,836434,819869,OVT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
菩提树,九龙城区,康乐及文化事务署,贾炳达道公园近联合道入口,13/1/2021,N,LCSD/KC/00011,LCSD KC/11,LCSD KC/11,837334,821442,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
大叶榕(黄葛树),九龙城区,卫生署,"九龙胸肺诊疗所, 九龙亚皆老街147号A",15/10/2020,N,DH/KC/00012,K4 T12,DH KC/1,836425,820354,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 健康状况(一般) / ,持续监察 / 
大叶榕(黄葛树),九龙城区,卫生署,"九龙胸肺诊疗所, 九龙亚皆老街147号A",15/10/2020,N,DH/KC/00013,K4 T13,DH KC/2,836423,820346,OVT,嫩枝枯死 (少於 5%) / 呈现树洞(轻微) / 等势干并於连结位置呈现内夹树皮/腐烂/树洞/裂缝 / 健康状况(一般) / ,安装缆索或支撑物 / 持续监察 / 
印度榕(印度橡树),观塘区,康乐及文化事务署,裕民坊休憩花园,10/9/2020,N,LCSD/KT/00001,LCSD KT/2,LCSD KT/2,841208,819418,OVT,有明显破损 / ,持续监察 / 
印度榕(印度橡树),观塘区,康乐及文化事务署,裕民坊休憩花园,10/9/2020,N,LCSD/KT/00002,LCSD KT/3,LCSD KT/3,841234,819408,OVT,有明显破损 / ,持续监察 / 
大叶桉,深水埗区,康乐及文化事务署,深水埗公园,18/12/2020,N,LCSD/SSP/00001,LCSD SSP/1,LCSD SSP/1,834249,821314,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),深水埗区,康乐及文化事务署,"荔枝角道,在深水埗公园对面",5/11/2020,N,LCSD/SSP/00002,LCSD SSP/7,LCSD SSP/7,834279,821330,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),深水埗区,康乐及文化事务署,石硖尾公园,6/11/2020,N,LCSD/SSP/00003,LCSD SSP/11,LCSD SSP/11,835456,821671,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),黄大仙区,康乐及文化事务署,景福街休憩处,22/9/2020,N,LCSD/WTS/00002,LCSD WTS/3,LCSD WTS/3,838228,821606,OVT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
高山榕(鸡榕),黄大仙区,康乐及文化事务署,衍庆街游乐场,22/9/2020,N,LCSD/WTS/00003,LCSD WTS/4,LCSD WTS/4,838175,821812,OVT,树枝/树干裂开(轻微) / 有明显破损 / ,持续监察 / 
高山榕(鸡榕),黄大仙区,康乐及文化事务署,衍庆街游乐场,22/9/2020,N,LCSD/WTS/00004,LCSD WTS/5,LCSD WTS/5,838169,821811,OVT,有明显破损 / ,持续监察 / 
高山榕(鸡榕),黄大仙区,康乐及文化事务署,衍庆街游乐场,22/9/2020,N,LCSD/WTS/00005,LCSD WTS/6,LCSD WTS/6,838156,821822,OVT,有明显破损 / ,持续监察 / 
高山榕(鸡榕),黄大仙区,康乐及文化事务署,衍庆街游乐场,22/9/2020,N,LCSD/WTS/00006,LCSD WTS/7,LCSD WTS/7,838153,821825,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),黄大仙区,康乐及文化事务署,睦邻街游乐场,22/9/2020,N,LCSD/WTS/00007,LCSD WTS/8,LCSD WTS/8,838219,822453,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道面向山林道,24/11/2020,N,LCSD/YTM/00001,LCSD YTM/1,LCSD YTM/1,835737,818187,OVT,呈现树洞(中等) / 树枝/树干裂开(轻微) / 呈现病虫害征状(轻微) / 有明显破损 / 树冠不对称 / ,持续监察 / 
榕树(细叶榕),油尖旺区,地政总署,联运街与亚皆老街交界公共停车场,6/10/2020,N,LANDSD/YTM/00003,LANDSD YTM/1,LANDSD YTM/1,835798,820120,OVT,嫩枝枯死 (少於 5%) / 树冠不对称 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,联运街,8/9/2020,N,LCSD/YTM/00004,LCSD YTM/101,LCSD YTM/101,835789,820209,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,联运街,8/9/2020,N,LCSD/YTM/00005,LCSD YTM/102,LCSD YTM/102,835787,820218,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,联运街,8/9/2020,N,LCSD/YTM/00008,LCSD YTM/105,LCSD YTM/105,835780,820274,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
史氏钟花,油尖旺区,康乐及文化事务署,洗衣街花园,5/2/2021,N,LCSD/YTM/00009,LCSD YTM/108,LCSD YTM/108,835736,819819,OVT,呈现树洞(轻微) / ,持续监察 / 
史氏钟花,油尖旺区,康乐及文化事务署,洗衣街花园,21/1/2021,N,LCSD/YTM/00010,LCSD YTM/109,LCSD YTM/109,835736,819816,OVT,有枯枝 / 有明显破损 / 健康状况(差) / ,持续监察 / 
史氏钟花,油尖旺区,康乐及文化事务署,洗衣街花园,24/2/2021,N,LCSD/YTM/00013,LCSD YTM/111,LCSD YTM/111,835756,819819,OVT,有枯枝 / 有明显破损 / 健康状况(差) / ,持续监察 / 
垂叶榕,油尖旺区,康乐及文化事务署,界限街一号体育馆,8/2/2021,N,LCSD/YTM/00014,LCSD YTM/112,LCSD YTM/112,835637,820701,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道157号外,7/12/2020,N,LCSD/YTM/00016,LCSD YTM/13,LCSD YTM/13,835748,818013,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道155号外,4/11/2020,N,LCSD/YTM/00017,LCSD YTM/14,LCSD YTM/14,835748,818003,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道153号外,4/11/2020,N,LCSD/YTM/00018,LCSD YTM/15,LCSD YTM/15,835748.98,817993.69,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道147号外,4/11/2020,N,LCSD/YTM/00019,LCSD YTM/16,LCSD YTM/16,835750,817967,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道145号外,4/11/2020,N,LCSD/YTM/00020,LCSD YTM/17,LCSD YTM/17,835751,817957,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道143号外,6/11/2020,N,LCSD/YTM/00021,LCSD YTM/18,LCSD YTM/18,835752,817946,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道139号外,6/11/2020,N,LCSD/YTM/00022,LCSD YTM/19,LCSD YTM/19,835754,817919,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,"弥敦道,尖沙咀警署前",7/12/2020,N,LCSD/YTM/00023,LCSD YTM/2,LCSD YTM/2,835738,818178,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道135号外,6/11/2020,N,LCSD/YTM/00024,LCSD YTM/20,LCSD YTM/20,835754,817901,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道近栢丽购物大道127号,7/12/2020,N,LCSD/YTM/00025,LCSD YTM/21,LCSD YTM/21,835757,817866,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道近栢丽购物大道125号,7/12/2020,N,LCSD/YTM/00026,LCSD YTM/22,LCSD YTM/22,835757.9,817856.99,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道近栢丽购物大道121号,7/12/2020,N,LCSD/YTM/00027,LCSD YTM/23,LCSD YTM/23,835759,817839,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道近栢丽购物大道115号,7/12/2020,N,LCSD/YTM/00028,LCSD YTM/24,LCSD YTM/24,835761,817810,OVT,呈现树洞(轻微) / 有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道近栢丽购物大道113号,7/12/2020,N,LCSD/YTM/00029,LCSD YTM/25,LCSD YTM/25,835761,817802,OVT,有明显破损 / ,持续监察 / 
榕树(细叶榕),油尖旺区,康乐及文化事务署,弥敦道近栢丽购物大道111号,7/12/2020,N,LCSD/YTM/00030,LCSD YTM/26,LCSD YTM/26,835763,817793,OVT,呈现树洞(中等) / 有明显破损 / ,持续监察 / 
